Song,Lyrics
Escuchar,"visualizaciones de letras352.667Ojos MarronesLassoLetraSignificadoTraduccionesEs la primera vezQue invito a alguien desde que te fuisteY estoy bienEl mismo restaurantePero a ella sí le dan risa mis chistesEstoy bienElla sí se lleva bien con mis amigosNunca discutimosEs lo que siempre he queridoPero cuando la miro a los ojosVeo que no sonTus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesEl cielo azul parece grisDesde que ya no estás aquíTodo el color ahora es blanco y negroY como no te puedo hablarNi regresar el tiempo atrásMejor al Sol lo tapo con un dedoSus labios lucen de rojoNos vemos bien de la manoY me gusta el verde en sus ojosSi no los comparoCon tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesSin tus ojos marronesElla sí se lleva bien con mis amigosNunca discutimosEs lo que siempre he queridoPero cuando la miro a los ojosY veo que no sonTus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesAgregar a favoritosAgregar a playlistTamaño de la fuenteAcordesImprimirCorregirAnotacionesHabilitadasDeshabilitadasDesplazamiento automáticoCompuesta por: Lasso / Agustín Zubillaga / Luis Jiménez.¿Los datos están equivocados? Avísanos.Enviada porVictória.   Subtitulado porLeiidyyLucas.   Revisión porYamileth.¿Viste algún error? Envíanos una revisión.RestaurarAplicarLetras AcademyComentarios por FacebookComentáriosEnvie dúvidas, explicações e curiosidades sobre a letraDesfazer seleção0 / 500Faça partedessa comunidadeTire dúvidas sobre idiomas, interaja com outros fãs de Lasso e vá além da letra da música.Conheça o Letras AcademyJá é assinante? Entre aquiEnviarConfira nossoguia de usopara deixar comentários.Enviar para a central de dúvidas?Dúvidas enviadas podem receber respostas de professores e alunos da plataforma.Agora nãoEnviarLetras AcademyFecharFixe este conteúdo com a aula:Enviar0 / 500Posts relacionadosOpções de seleçãoFecharCopiar trechoCopiar toda a letraTreinar a pronúncia deComentar sobre este trechoLas más escuchadas de LassoOjos MarronesEn Otra Vida (part. Yami Safdie y Carin Leon)Hasta Ese DíaOjos Marrones (part. Sebastian Yatra)Los Hombres Son Todos IgualesTe VeoOdio Que No Te Odio (part. Cami)Bilingües (part. Mau y Ricky)IbuprofenoQuiero Que VuelvasUn Millón Como Tú (part. Cami)CerebroCómo Te OdioDe mí, de mí, de mí (part. José Madero)HuyendoLos Amigos No Se Besan En La Boca (part. Ana Guerra)Mientras MentiasNo Pares De BailarSouvenirYo-yoPlaylists relacionadasLos más vistosTodosPopReggaetonRockMásDtMFBad BunnyBAILE INoLVIDABLEBad BunnyDie With A Smile (feat. Bruno Mars)Lady GagaNUEVAYoLBad BunnyAPT. (feat. Bruno Mars)ROSÉY.M.C.A.Village PeopleLA REINA (remix) (part. Maria Becerra y Villano Antillano)Lola IndigoQuerida Yo (part. Yami Safdie)CamiloMessyLola YoungVOY A LLeVARTE PA PRBad BunnyBad BunnyLady GagaColdplayContribucionesLetraSubtítulosEnvíoVictóriaEnvíoRevisionesYamilethRevisión¿Viste algún error? Envíanos una revisiónEnvíoLeiidyEnvíoLucasEnvío"
Aleatorio,"visualizaciones de letras13.299IbuprofenoLassoLetraSignificadoTraduccionesVeo un una personaAmarrada a un rielEsperando en calmaA que llegue el trenVeo una personaSin saber nadarEn un barco naufragando solaEn medio del marNo sé si sea mi impresiónY nada está pasandoPero si hay algo de razónNo sigas dudandoCuando todo salga malCuando ya no aguantes másY el mundo no te entiendaY nadie te defiendaCuando sufras por amorSe te quiebre el corazónAquí estaré contigoEn todos los sentidosQuiero ser venda y vitaminasSer tu terapia y medicinaTu cura de sueñoIbuprofenoNo es que yo sea especialNi que tenga la verdadEs que conozco el sueloLo he visitado más veces que el cieloMe han pateadoMe han quebradoTengo dos de mis ojos mora'oNo es demasiado pero aquí estoy a tu lado yoSi te fallan y te mientenY por más que hacerte daño intentenPuedes afrontarlos y si no puedes aquí estaré yoCuando todo salga malCuando ya no aguante másY el mundo no te entiendaY nadie te defiendaCuando sufras por amorSe te quiebre el corazónAquí estaré contigoEn todos los sentidosQuiero ser venda y vitaminasSer tu terapia y medicinaTu cura de sueñoIbuprofenoPa' que la vidaYa no te duelaNo sé si sea mi impresiónY nada está pasandoPero si hay algo de razónNo sigas dudandoCuando todo salga malCuando ya no aguante másY el mundo no te entiendaY nadie te defiendaCuando sufras por amorSe te quiebre el corazónAquí estaré contigoEn todos los sentidosQuiero ser venda y vitaminasSer tu terapia y medicinaTu cura de sueñoIbuprofenoPa' que la vidaYa no te duelaPa' que la vidaYa no te duelaPa' que la vidaYa no te duelaAgregar a favoritosAgregar a playlistTamaño de la fuenteAcordesImprimirCorregirAnotacionesHabilitadasDeshabilitadasDesplazamiento automático¿Sabes quién compuso esta canción? Envíanoslo.Enviada porSanchez.    Revisiones por2 personas.¿Viste algún error? Envíanos una revisión.RestaurarAplicarLetras AcademyComentarios por FacebookComentáriosEnvie dúvidas, explicações e curiosidades sobre a letraDesfazer seleção0 / 500Faça partedessa comunidadeTire dúvidas sobre idiomas, interaja com outros fãs de Lasso e vá além da letra da música.Conheça o Letras AcademyJá é assinante? Entre aquiEnviarConfira nossoguia de usopara deixar comentários.Enviar para a central de dúvidas?Dúvidas enviadas podem receber respostas de professores e alunos da plataforma.Agora nãoEnviarLetras AcademyFecharFixe este conteúdo com a aula:Enviar0 / 500Posts relacionadosOpções de seleçãoFecharCopiar trechoCopiar toda a letraTreinar a pronúncia deComentar sobre este trechoLas más escuchadas de LassoOjos MarronesEn Otra Vida (part. Yami Safdie y Carin Leon)Hasta Ese DíaOjos Marrones (part. Sebastian Yatra)Los Hombres Son Todos IgualesTe VeoOdio Que No Te Odio (part. Cami)Bilingües (part. Mau y Ricky)IbuprofenoQuiero Que VuelvasUn Millón Como Tú (part. Cami)CerebroCómo Te OdioDe mí, de mí, de mí (part. José Madero)HuyendoLos Amigos No Se Besan En La Boca (part. Ana Guerra)Mientras MentiasNo Pares De BailarSouvenirYo-yoPlaylists relacionadasLos más vistosTodosPopReggaetonRockMásDtMFBad BunnyBAILE INoLVIDABLEBad BunnyDie With A Smile (feat. Bruno Mars)Lady GagaNUEVAYoLBad BunnyAPT. (feat. Bruno Mars)ROSÉY.M.C.A.Village PeopleLA REINA (remix) (part. Maria Becerra y Villano Antillano)Lola IndigoQuerida Yo (part. Yami Safdie)CamiloMessyLola YoungVOY A LLeVARTE PA PRBad BunnyBad BunnyLady GagaColdplayContribucionesLetraSubtítulosEnvíoSanchezEnvíoRevisionesNievesRevisiónJoselinaRevisión¿Viste algún error? Envíanos una revisión¿Estás buscando los subtítulos?Todavía no recibimos esta contribuciónpor aquí. ¿Qué tal enviárnosla?"
Ir a la radio del artista,"visualizaciones de letras352.667Ojos MarronesLassoLetraSignificadoTraduccionesEs la primera vezQue invito a alguien desde que te fuisteY estoy bienEl mismo restaurantePero a ella sí le dan risa mis chistesEstoy bienElla sí se lleva bien con mis amigosNunca discutimosEs lo que siempre he queridoPero cuando la miro a los ojosVeo que no sonTus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesEl cielo azul parece grisDesde que ya no estás aquíTodo el color ahora es blanco y negroY como no te puedo hablarNi regresar el tiempo atrásMejor al Sol lo tapo con un dedoSus labios lucen de rojoNos vemos bien de la manoY me gusta el verde en sus ojosSi no los comparoCon tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesSin tus ojos marronesElla sí se lleva bien con mis amigosNunca discutimosEs lo que siempre he queridoPero cuando la miro a los ojosY veo que no sonTus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesAgregar a favoritosAgregar a playlistTamaño de la fuenteAcordesImprimirCorregirAnotacionesHabilitadasDeshabilitadasDesplazamiento automáticoCompuesta por: Lasso / Agustín Zubillaga / Luis Jiménez.¿Los datos están equivocados? Avísanos.Enviada porVictória.   Subtitulado porLeiidyyLucas.   Revisión porYamileth.¿Viste algún error? Envíanos una revisión.RestaurarAplicarLetras AcademyComentarios por FacebookComentáriosEnvie dúvidas, explicações e curiosidades sobre a letraDesfazer seleção0 / 500Faça partedessa comunidadeTire dúvidas sobre idiomas, interaja com outros fãs de Lasso e vá além da letra da música.Conheça o Letras AcademyJá é assinante? Entre aquiEnviarConfira nossoguia de usopara deixar comentários.Enviar para a central de dúvidas?Dúvidas enviadas podem receber respostas de professores e alunos da plataforma.Agora nãoEnviarLetras AcademyFecharFixe este conteúdo com a aula:Enviar0 / 500Posts relacionadosOpções de seleçãoFecharCopiar trechoCopiar toda a letraTreinar a pronúncia deComentar sobre este trechoLas más escuchadas de LassoOjos MarronesEn Otra Vida (part. Yami Safdie y Carin Leon)Hasta Ese DíaOjos Marrones (part. Sebastian Yatra)Los Hombres Son Todos IgualesTe VeoOdio Que No Te Odio (part. Cami)Bilingües (part. Mau y Ricky)IbuprofenoQuiero Que VuelvasUn Millón Como Tú (part. Cami)CerebroCómo Te OdioDe mí, de mí, de mí (part. José Madero)HuyendoLos Amigos No Se Besan En La Boca (part. Ana Guerra)Mientras MentiasNo Pares De BailarSouvenirYo-yoPlaylists relacionadasLos más vistosTodosPopReggaetonRockMásDtMFBad BunnyBAILE INoLVIDABLEBad BunnyDie With A Smile (feat. Bruno Mars)Lady GagaNUEVAYoLBad BunnyAPT. (feat. Bruno Mars)ROSÉY.M.C.A.Village PeopleLA REINA (remix) (part. Maria Becerra y Villano Antillano)Lola IndigoQuerida Yo (part. Yami Safdie)CamiloMessyLola YoungVOY A LLeVARTE PA PRBad BunnyBad BunnyLady GagaColdplayContribucionesLetraSubtítulosEnvíoVictóriaEnvíoRevisionesYamilethRevisión¿Viste algún error? Envíanos una revisiónEnvíoLeiidyEnvíoLucasEnvío"
Ojos Marrones,"visualizaciones de letras352.667Ojos MarronesLassoLetraSignificadoTraduccionesEs la primera vezQue invito a alguien desde que te fuisteY estoy bienEl mismo restaurantePero a ella sí le dan risa mis chistesEstoy bienElla sí se lleva bien con mis amigosNunca discutimosEs lo que siempre he queridoPero cuando la miro a los ojosVeo que no sonTus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesEl cielo azul parece grisDesde que ya no estás aquíTodo el color ahora es blanco y negroY como no te puedo hablarNi regresar el tiempo atrásMejor al Sol lo tapo con un dedoSus labios lucen de rojoNos vemos bien de la manoY me gusta el verde en sus ojosSi no los comparoCon tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesSin tus ojos marronesElla sí se lleva bien con mis amigosNunca discutimosEs lo que siempre he queridoPero cuando la miro a los ojosY veo que no sonTus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesAgregar a favoritosAgregar a playlistTamaño de la fuenteAcordesImprimirCorregirAnotacionesHabilitadasDeshabilitadasDesplazamiento automáticoCompuesta por: Lasso / Agustín Zubillaga / Luis Jiménez.¿Los datos están equivocados? Avísanos.Enviada porVictória.   Subtitulado porLeiidyyLucas.   Revisión porYamileth.¿Viste algún error? Envíanos una revisión.RestaurarAplicarLetras AcademyComentarios por FacebookComentáriosEnvie dúvidas, explicações e curiosidades sobre a letraDesfazer seleção0 / 500Faça partedessa comunidadeTire dúvidas sobre idiomas, interaja com outros fãs de Lasso e vá além da letra da música.Conheça o Letras AcademyJá é assinante? Entre aquiEnviarConfira nossoguia de usopara deixar comentários.Enviar para a central de dúvidas?Dúvidas enviadas podem receber respostas de professores e alunos da plataforma.Agora nãoEnviarLetras AcademyFecharFixe este conteúdo com a aula:Enviar0 / 500Posts relacionadosOpções de seleçãoFecharCopiar trechoCopiar toda a letraTreinar a pronúncia deComentar sobre este trechoLas más escuchadas de LassoOjos MarronesEn Otra Vida (part. Yami Safdie y Carin Leon)Hasta Ese DíaOjos Marrones (part. Sebastian Yatra)Los Hombres Son Todos IgualesTe VeoOdio Que No Te Odio (part. Cami)Bilingües (part. Mau y Ricky)IbuprofenoQuiero Que VuelvasUn Millón Como Tú (part. Cami)CerebroCómo Te OdioDe mí, de mí, de mí (part. José Madero)HuyendoLos Amigos No Se Besan En La Boca (part. Ana Guerra)Mientras MentiasNo Pares De BailarSouvenirYo-yoPlaylists relacionadasLos más vistosTodosPopReggaetonRockMásDtMFBad BunnyBAILE INoLVIDABLEBad BunnyDie With A Smile (feat. Bruno Mars)Lady GagaNUEVAYoLBad BunnyAPT. (feat. Bruno Mars)ROSÉY.M.C.A.Village PeopleLA REINA (remix) (part. Maria Becerra y Villano Antillano)Lola IndigoQuerida Yo (part. Yami Safdie)CamiloMessyLola YoungVOY A LLeVARTE PA PRBad BunnyBad BunnyLady GagaColdplayContribucionesLetraSubtítulosEnvíoVictóriaEnvíoRevisionesYamilethRevisión¿Viste algún error? Envíanos una revisiónEnvíoLeiidyEnvíoLucasEnvío"
En Otra Vida (part. Yami Safdie y Carin Leon),"visualizaciones de letras568En Otra Vida (part. Yami Safdie y Carin Leon)LassoLetraSignificadoTraduccionesEn otra vidaNos casamos y viajamos por el mundoNos mudamos a un pisito en el segundoY mis padres son amigos de los tuyos (de los tuyos)Nuestros hijosHeredaron mi paciencia y tu sonrisaCaminamos y leemos poesíaMierda, que nos fue genial en otra vidaEn esta noNo sé por qué no se nos dioTal vez un capricho de DiosO el coraje que siempre faltó a los dosPero yoAquí te esperaréSi cambias de opiniónNo es tarde pa' volverA estar juntos tú y yoEn otra vidaSe nos alineó la Luna y los planetasLa rutina no pasó a ser un problemaNunca hubo un tercero en la cuentaLo sé porque a veces lo sueñoY se siente tan realQue casi empiezo a pensarQue el mal sueño es esteY esa es nuestra realidadPero yoAquí te esperaréSi cambias de opiniónNo es tarde pa' volverA estar juntos tú y yoAquí te esperaréSi cambias de opiniónNo es tarde pa' volverA estar juntosEn otra vidaEscribimos un Felices Para SiemprePero, en esta, solo me tocó perderteY esperar que, de algún modo, me recuerdesAgregar a favoritosAgregar a playlistTamaño de la fuenteAcordesImprimirCorregirAnotacionesHabilitadasDeshabilitadasDesplazamiento automáticoCompuesta por: Lasso / Carin Leon / Cocodrilo / Yami Safdie.¿Los datos están equivocados? Avísanos.Enviada porDanilo.    Revisión pormimijilo.¿Viste algún error? Envíanos una revisión.RestaurarAplicarLetras AcademyComentarios por FacebookComentáriosEnvie dúvidas, explicações e curiosidades sobre a letraDesfazer seleção0 / 500Faça partedessa comunidadeTire dúvidas sobre idiomas, interaja com outros fãs de Lasso e vá além da letra da música.Conheça o Letras AcademyJá é assinante? Entre aquiEnviarConfira nossoguia de usopara deixar comentários.Enviar para a central de dúvidas?Dúvidas enviadas podem receber respostas de professores e alunos da plataforma.Agora nãoEnviarLetras AcademyFecharFixe este conteúdo com a aula:Enviar0 / 500Posts relacionadosOpções de seleçãoFecharCopiar trechoCopiar toda a letraTreinar a pronúncia deComentar sobre este trechoLas más escuchadas de LassoOjos MarronesEn Otra Vida (part. Yami Safdie y Carin Leon)Hasta Ese DíaOjos Marrones (part. Sebastian Yatra)Los Hombres Son Todos IgualesTe VeoOdio Que No Te Odio (part. Cami)Bilingües (part. Mau y Ricky)IbuprofenoQuiero Que VuelvasUn Millón Como Tú (part. Cami)CerebroCómo Te OdioDe mí, de mí, de mí (part. José Madero)HuyendoLos Amigos No Se Besan En La Boca (part. Ana Guerra)Mientras MentiasNo Pares De BailarSouvenirYo-yoPlaylists relacionadasLos más vistosTodosPopReggaetonRockMásDtMFBad BunnyBAILE INoLVIDABLEBad BunnyDie With A Smile (feat. Bruno Mars)Lady GagaNUEVAYoLBad BunnyAPT. (feat. Bruno Mars)ROSÉY.M.C.A.Village PeopleLA REINA (remix) (part. Maria Becerra y Villano Antillano)Lola IndigoQuerida Yo (part. Yami Safdie)CamiloMessyLola YoungVOY A LLeVARTE PA PRBad BunnyBad BunnyLady GagaColdplayContribucionesLetraSubtítulosEnvíoDaniloEnvíoRevisionesmimijiloRevisión¿Viste algún error? Envíanos una revisión¿Estás buscando los subtítulos?Todavía no recibimos esta contribuciónpor aquí. ¿Qué tal enviárnosla?"
Hasta Ese Día,"visualizaciones de letras64.224Hasta Ese DíaLassoLetraSignificadoTraduccionesYo que pensé que nunca iba a estarEnamorado de nadie másY de repente yo te encontré a tiNadie es perfecto llegué a decirHasta que un día te conocíQue buena suerte que te encontré a tiHabrá gente que diráToda una vida es exagerarPero si es contigoTiempo va a faltarHasta que pierda el color de mi peloY que los niños nos digan abuelosCuando mis piernas no puedan andarHasta ese día me voy a quedarCuando los años nos pinten las manosQue el 2020 se vuelva lejanoCuando mi pulso se quiera apagarHasta ese día me voy a quedarY sí, y sí, a veces va a ser todo grisY sí, y sí, tal vez dudemos si seguirNo importa la montaña si es alta o complicadaAhí estaré para subirY sí, y sí, a veces va a ser todo grisY sí, y sí, también vamos a discutirNo importa si es desiertoInvierno, selva o marAhí estaré para cruzarHasta que pierda el color de mi peloY que los niños nos digan abuelosCuando mis piernas no puedan andarHasta ese día me voy a quedarCuando los años nos pinten las manosQue el 2020 se vuelva lejanoCuando mi pulso se quiera apagarHasta ese día me voy a quedarY nos van a preguntarEl secreto para durarNunca tuve ojosPara nadie másHasta que pierda el color de mi peloY que los niños nos digan abuelosCuando mis piernas no puedan andarHasta ese día me voy a quedarCuando los años nos pinten las manosQue el 2020 se vuelva lejanoCuando mi pulso se quiera apagarHasta ese día me voy a quedarAgregar a favoritosAgregar a playlistTamaño de la fuenteAcordesImprimirCorregirAnotacionesHabilitadasDeshabilitadasDesplazamiento automático¿Sabes quién compuso esta canción? Envíanoslo.Enviada porbadtomy.   Subtitulado porMel.¿Viste algún error? Envíanos una revisión.RestaurarAplicarLetras AcademyComentarios por FacebookComentáriosEnvie dúvidas, explicações e curiosidades sobre a letraDesfazer seleção0 / 500Faça partedessa comunidadeTire dúvidas sobre idiomas, interaja com outros fãs de Lasso e vá além da letra da música.Conheça o Letras AcademyJá é assinante? Entre aquiEnviarConfira nossoguia de usopara deixar comentários.Enviar para a central de dúvidas?Dúvidas enviadas podem receber respostas de professores e alunos da plataforma.Agora nãoEnviarLetras AcademyFecharFixe este conteúdo com a aula:Enviar0 / 500Posts relacionadosOpções de seleçãoFecharCopiar trechoCopiar toda a letraTreinar a pronúncia deComentar sobre este trechoLas más escuchadas de LassoOjos MarronesEn Otra Vida (part. Yami Safdie y Carin Leon)Hasta Ese DíaOjos Marrones (part. Sebastian Yatra)Los Hombres Son Todos IgualesTe VeoOdio Que No Te Odio (part. Cami)Bilingües (part. Mau y Ricky)IbuprofenoQuiero Que VuelvasUn Millón Como Tú (part. Cami)CerebroCómo Te OdioDe mí, de mí, de mí (part. José Madero)HuyendoLos Amigos No Se Besan En La Boca (part. Ana Guerra)Mientras MentiasNo Pares De BailarSouvenirYo-yoPlaylists relacionadasLos más vistosTodosPopReggaetonRockMásDtMFBad BunnyBAILE INoLVIDABLEBad BunnyDie With A Smile (feat. Bruno Mars)Lady GagaNUEVAYoLBad BunnyAPT. (feat. Bruno Mars)ROSÉY.M.C.A.Village PeopleLA REINA (remix) (part. Maria Becerra y Villano Antillano)Lola IndigoQuerida Yo (part. Yami Safdie)CamiloMessyLola YoungVOY A LLeVARTE PA PRBad BunnyBad BunnyLady GagaColdplayContribucionesLetraSubtítulosEnvíobadtomyEnvío¿Viste algún error? Envíanos una revisiónEnvíoMelEnvío"
Ojos Marrones (part. Sebastian Yatra),"visualizaciones de letras100.522Ojos Marrones (part. Sebastian Yatra)LassoLetraSignificadoTraduccionesEs la primera vezQue invito a alguienDesde que te fuisteY estoy bienEl mismo restaurantPero a ella sí le danRisa mis chistesEstoy bienElla sí se lleva bien con mis amigosNunca discutimos, es lo que siempre he queridoPero cuando la miro a los ojos, veo que no sonTus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesEl Sol brilla en la carreteraY en el retrovisor, imágenes de tiDicen que se superaUn amor con otro amor, peroNo puedo verle color al marMe la paso mirando el cieloPero pasa igualElla tiene los diamantes para mirarPero sus ojos azulesNo son tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marrones(Nada) sin tus ojos marrones(Nada, nada)Ella sí se lleva bien con mis amigosNunca discutimos, es lo que siempre he queridoPero cuando la miro a los ojos y veo que no sonTus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesNada es igual, nada es igual, nadaSin tus ojos marronesAgregar a favoritosAgregar a playlistTamaño de la fuenteAcordesImprimirCorregirAnotacionesHabilitadasDeshabilitadasDesplazamiento automáticoCompuesta por: Sebastian Yatra / Lasso / Agustín Zubillaga / Luis Jiménez / Spreadlof.¿Los datos están equivocados? Avísanos.Enviada porBeatriz.   Subtitulado porVictória.¿Viste algún error? Envíanos una revisión.RestaurarAplicarLetras AcademyComentarios por FacebookComentáriosEnvie dúvidas, explicações e curiosidades sobre a letraDesfazer seleção0 / 500Faça partedessa comunidadeTire dúvidas sobre idiomas, interaja com outros fãs de Lasso e vá além da letra da música.Conheça o Letras AcademyJá é assinante? Entre aquiEnviarConfira nossoguia de usopara deixar comentários.Enviar para a central de dúvidas?Dúvidas enviadas podem receber respostas de professores e alunos da plataforma.Agora nãoEnviarLetras AcademyFecharFixe este conteúdo com a aula:Enviar0 / 500Posts relacionadosOpções de seleçãoFecharCopiar trechoCopiar toda a letraTreinar a pronúncia deComentar sobre este trechoLas más escuchadas de LassoOjos MarronesEn Otra Vida (part. Yami Safdie y Carin Leon)Hasta Ese DíaOjos Marrones (part. Sebastian Yatra)Los Hombres Son Todos IgualesTe VeoOdio Que No Te Odio (part. Cami)Bilingües (part. Mau y Ricky)IbuprofenoQuiero Que VuelvasUn Millón Como Tú (part. Cami)CerebroCómo Te OdioDe mí, de mí, de mí (part. José Madero)HuyendoLos Amigos No Se Besan En La Boca (part. Ana Guerra)Mientras MentiasNo Pares De BailarSouvenirYo-yoPlaylists relacionadasLos más vistosTodosPopReggaetonRockMásDtMFBad BunnyBAILE INoLVIDABLEBad BunnyDie With A Smile (feat. Bruno Mars)Lady GagaNUEVAYoLBad BunnyAPT. (feat. Bruno Mars)ROSÉY.M.C.A.Village PeopleLA REINA (remix) (part. Maria Becerra y Villano Antillano)Lola IndigoQuerida Yo (part. Yami Safdie)CamiloMessyLola YoungVOY A LLeVARTE PA PRBad BunnyBad BunnyLady GagaColdplayContribucionesLetraSubtítulosEnvíoBeatrizEnvío¿Viste algún error? Envíanos una revisiónEnvíoVictóriaEnvío"
Los Hombres Son Todos Iguales,"visualizaciones de letras14.959Los Hombres Son Todos IgualesLassoLetraSignificadoTraduccionesLe digo al oídoEres la mujer más bella que he visto en mi vidaSe ríe y responde: ¿en serio no tienes una mejor línea?Me dice al oído que no nació ayerQue ya esa lección fue aprendidaMe río y respondo que me acepte un tragoY que luego decidaHoy, tú me pides la manoY, mañana temprano, nos divorciamosCon esa frase, me besa y ya no regresaNo regresaComo una estrella, se hace de día y me dejaCuando se aleja, le ruego al cielo, la nocheDe nuevo, tan solo para verla otra vezEs tan bella, odia que jueguen con ellaJura que si se enamora de mí, solo puede sufrir, ya lo sabeLos hombres son todos igualesPues, no, le digo: Yo no soy asíMe cobras a mí cuando la deuda no es míaPerdón, le digo, voy a insistirNo puedes vivir con miedo toda la vida(Me dice)Como tú comienzan todosCon el brillo en los ojosY, poco a poco, la rutina me los vuelve locosY se les quita(Me dice)Odio estar enamoradaEstar tan ciega y entregadaPa' que cuando falle algo se vayan con otra más bonitaBonitaComo una estrella, se hace de día y me dejaCuando se aleja, le ruego al cielo, la nocheDe nuevo, tan solo para verla otra vezEs tan bella, odia que jueguen con ellaJura que si se enamora de mí, solo puede sufrir, ya lo sabeLos hombres son todos igualesSon todos igualesComo una estrella, se hace de día y me dejaCuando se aleja, le ruego al cielo, la nocheDe nuevo, tan solo para verla otra vezEs tan bella, yo no jugaría con ellaJuro que si se enamora de mí, no se va a arrepentir, demostrarleQue todos no somos iguales(No somos iguales)(No somos iguales)Porque todos los hombres no somos igualesAgregar a favoritosAgregar a playlistTamaño de la fuenteAcordesImprimirCorregirAnotacionesHabilitadasDeshabilitadasDesplazamiento automáticoCompuesta por: Lasso.¿Los datos están equivocados? Avísanos.Enviada porDanilo.    Revisiones por2 personas.¿Viste algún error? Envíanos una revisión.RestaurarAplicarLetras AcademyComentarios por FacebookComentáriosEnvie dúvidas, explicações e curiosidades sobre a letraDesfazer seleção0 / 500Faça partedessa comunidadeTire dúvidas sobre idiomas, interaja com outros fãs de Lasso e vá além da letra da música.Conheça o Letras AcademyJá é assinante? Entre aquiEnviarConfira nossoguia de usopara deixar comentários.Enviar para a central de dúvidas?Dúvidas enviadas podem receber respostas de professores e alunos da plataforma.Agora nãoEnviarLetras AcademyFecharFixe este conteúdo com a aula:Enviar0 / 500Posts relacionadosOpções de seleçãoFecharCopiar trechoCopiar toda a letraTreinar a pronúncia deComentar sobre este trechoLas más escuchadas de LassoOjos MarronesEn Otra Vida (part. Yami Safdie y Carin Leon)Hasta Ese DíaOjos Marrones (part. Sebastian Yatra)Los Hombres Son Todos IgualesTe VeoOdio Que No Te Odio (part. Cami)Bilingües (part. Mau y Ricky)IbuprofenoQuiero Que VuelvasUn Millón Como Tú (part. Cami)CerebroCómo Te OdioDe mí, de mí, de mí (part. José Madero)HuyendoLos Amigos No Se Besan En La Boca (part. Ana Guerra)Mientras MentiasNo Pares De BailarSouvenirYo-yoPlaylists relacionadasLos más vistosTodosPopReggaetonRockMásDtMFBad BunnyBAILE INoLVIDABLEBad BunnyDie With A Smile (feat. Bruno Mars)Lady GagaNUEVAYoLBad BunnyAPT. (feat. Bruno Mars)ROSÉY.M.C.A.Village PeopleLA REINA (remix) (part. Maria Becerra y Villano Antillano)Lola IndigoQuerida Yo (part. Yami Safdie)CamiloMessyLola YoungVOY A LLeVARTE PA PRBad BunnyBad BunnyLady GagaColdplayContribucionesLetraSubtítulosEnvíoDaniloEnvíoRevisionesSofiaRevisiónSofyRevisión¿Viste algún error? Envíanos una revisión¿Estás buscando los subtítulos?Todavía no recibimos esta contribuciónpor aquí. ¿Qué tal enviárnosla?"
